/u/shawntan/.conda/envs/dist/lib/python3.9/site-packages/haiku/_src/data_structures.py:37: FutureWarning: jax.tree_structure is deprecated, and will be removed in a future release. Use jax.tree_util.tree_structure instead.
  PyTreeDef = type(jax.tree_structure(None))
/u/shawntan/.conda/envs/dist/lib/python3.9/site-packages/chex/_src/pytypes.py:37: FutureWarning: jax.tree_structure is deprecated, and will be removed in a future release. Use jax.tree_util.tree_structure instead.
  PyTreeDef = type(jax.tree_structure(None))
I0823 14:41:47.061769 22398207461184 xla_bridge.py:328] Unable to initialize backend 'tpu_driver': NOT_FOUND: Unable to find driver in registry given worker: 
I0823 14:41:47.297060 22398207461184 xla_bridge.py:328] Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: CUDA Interpreter Host
I0823 14:41:47.297404 22398207461184 xla_bridge.py:328] Unable to initialize backend 'tpu': module 'jaxlib.xla_extension' has no attribute 'get_tpu_client'
/u/shawntan/.conda/envs/dist/lib/python3.9/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/u/shawntan/.conda/envs/dist/lib/python3.9/site-packages/haiku/_src/data_structures.py:145: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
{'train_loss': 0.6964544057846069, 'valid_loss': 0.6903354525566101, 'step': 499, 'valid_accuracy': 0.52734375, 'train_accuracy': 0.453125}
{'train_loss': 0.697566032409668, 'valid_loss': 0.6951491832733154, 'step': 7999, 'valid_accuracy': 0.49609375, 'train_accuracy': 0.482421875}
{'train_loss': 0.7605633735656738, 'valid_loss': 0.6908211708068848, 'step': 8499, 'valid_accuracy': 0.525390625, 'train_accuracy': 0.451171875}
{'train_loss': 0.01487248856574297, 'valid_loss': 0.8102309107780457, 'step': 8999, 'valid_accuracy': 0.453125, 'train_accuracy': 1.0}
{'train_loss': 0.8341878652572632, 'valid_loss': 0.682934045791626, 'step': 9499, 'valid_accuracy': 0.5390625, 'train_accuracy': 0.611328125}
{'train_loss': 0.6938487887382507, 'valid_loss': 0.6981463432312012, 'step': 9999, 'valid_accuracy': 0.46875, 'train_accuracy': 0.59375}
{'train_loss': 0.20336207747459412, 'valid_loss': 0.5107970833778381, 'step': 10499, 'valid_accuracy': 0.7578125, 'train_accuracy': 0.904296875}
{'train_loss': 1.2705631256103516, 'valid_loss': 0.927675187587738, 'step': 10999, 'valid_accuracy': 0.404296875, 'train_accuracy': 0.412109375}
{'train_loss': 0.05662897601723671, 'valid_loss': 0.8002790212631226, 'step': 11499, 'valid_accuracy': 0.703125, 'train_accuracy': 0.951171875}
{'train_loss': 0.015416152775287628, 'valid_loss': 0.27328190207481384, 'step': 11999, 'valid_accuracy': 0.8828125, 'train_accuracy': 0.994140625}
{'train_loss': 0.03569591045379639, 'valid_loss': 0.18515810370445251, 'step': 12499, 'valid_accuracy': 0.90234375, 'train_accuracy': 1.0}
{'train_loss': 0.010182046331465244, 'valid_loss': 1.5814634561538696, 'step': 12999, 'valid_accuracy': 0.65234375, 'train_accuracy': 0.9609375}
{'train_loss': 0.00835039559751749, 'valid_loss': 0.12159797549247742, 'step': 13499, 'valid_accuracy': 0.935546875, 'train_accuracy': 0.998046875}
{'train_loss': 0.5676842927932739, 'valid_loss': 0.24754486978054047, 'step': 13999, 'valid_accuracy': 0.900390625, 'train_accuracy': 0.873046875}
{'train_loss': 1.5877573490142822, 'valid_loss': 1.2946951389312744, 'step': 14499, 'valid_accuracy': 0.771484375, 'train_accuracy': 0.720703125}
{'train_loss': 0.00496314000338316, 'valid_loss': 1.1241872310638428, 'step': 14999, 'valid_accuracy': 0.8125, 'train_accuracy': 1.0}
{'train_loss': 0.14581158757209778, 'valid_loss': 0.16276603937149048, 'step': 15499, 'valid_accuracy': 0.904296875, 'train_accuracy': 0.8984375}
{'train_loss': 0.5041631460189819, 'valid_loss': 0.6894506216049194, 'step': 15999, 'valid_accuracy': 0.541015625, 'train_accuracy': 0.765625}
{'train_loss': 0.0008830477599985898, 'valid_loss': 0.3736679255962372, 'step': 16499, 'valid_accuracy': 0.86328125, 'train_accuracy': 1.0}
{'train_loss': 0.00109345861710608, 'valid_loss': 0.13004015386104584, 'step': 16999, 'valid_accuracy': 0.947265625, 'train_accuracy': 1.0}
{'train_loss': 0.010295074433088303, 'valid_loss': 0.014982849359512329, 'step': 17499, 'valid_accuracy': 0.9921875, 'train_accuracy': 1.0}
{'train_loss': 0.00010877922613872215, 'valid_loss': 1.8905909061431885, 'step': 17999, 'valid_accuracy': 0.65625, 'train_accuracy': 1.0}
{'train_loss': 0.03092890977859497, 'valid_loss': 0.05266144126653671, 'step': 18499, 'valid_accuracy': 0.978515625, 'train_accuracy': 0.982421875}
{'train_loss': 0.5519953966140747, 'valid_loss': 0.711657702922821, 'step': 18999, 'valid_accuracy': 0.486328125, 'train_accuracy': 0.759765625}
{'train_loss': 0.16780659556388855, 'valid_loss': 0.12660878896713257, 'step': 19499, 'valid_accuracy': 0.943359375, 'train_accuracy': 0.966796875}
{'train_loss': 0.035455189645290375, 'valid_loss': 0.380146324634552, 'step': 19999, 'valid_accuracy': 0.85546875, 'train_accuracy': 1.0}
{'train_loss': 0.07430832087993622, 'valid_loss': 0.15127506852149963, 'step': 20499, 'valid_accuracy': 0.943359375, 'train_accuracy': 0.970703125}
{'train_loss': 0.002055161166936159, 'valid_loss': 0.0699998065829277, 'step': 20999, 'valid_accuracy': 0.966796875, 'train_accuracy': 1.0}
{'train_loss': 0.02047187276184559, 'valid_loss': 0.04836326092481613, 'step': 21499, 'valid_accuracy': 0.986328125, 'train_accuracy': 1.0}
{'train_loss': 0.19387683272361755, 'valid_loss': 1.5497326850891113, 'step': 21999, 'valid_accuracy': 0.455078125, 'train_accuracy': 0.962890625}
{'train_loss': 0.00010944966925308108, 'valid_loss': 0.18155288696289062, 'step': 22499, 'valid_accuracy': 0.91796875, 'train_accuracy': 1.0}
{'train_loss': 0.9833070039749146, 'valid_loss': 0.8400522470474243, 'step': 22999, 'valid_accuracy': 0.861328125, 'train_accuracy': 0.892578125}
{'train_loss': 0.04569762200117111, 'valid_loss': 0.05932414159178734, 'step': 23499, 'valid_accuracy': 0.982421875, 'train_accuracy': 0.978515625}
{'train_loss': 0.0004615051147993654, 'valid_loss': 0.1828024983406067, 'step': 23999, 'valid_accuracy': 0.9140625, 'train_accuracy': 1.0}
{'train_loss': 0.012508782558143139, 'valid_loss': 0.0257742740213871, 'step': 24499, 'valid_accuracy': 0.98828125, 'train_accuracy': 0.99609375}
{'train_loss': 0.011841656640172005, 'valid_loss': 0.032919369637966156, 'step': 24999, 'valid_accuracy': 0.986328125, 'train_accuracy': 0.9921875}
{'train_loss': 0.016072841361165047, 'valid_loss': 0.05311206728219986, 'step': 25499, 'valid_accuracy': 0.974609375, 'train_accuracy': 0.998046875}
{'train_loss': 0.0004023005021736026, 'valid_loss': 0.02940252795815468, 'step': 25999, 'valid_accuracy': 0.984375, 'train_accuracy': 1.0}
{'train_loss': 0.016272131353616714, 'valid_loss': 0.005569884553551674, 'step': 26499, 'valid_accuracy': 0.99609375, 'train_accuracy': 1.0}
{'train_loss': 0.0022835643030703068, 'valid_loss': 0.009014341980218887, 'step': 26999, 'valid_accuracy': 0.99609375, 'train_accuracy': 0.998046875}
{'train_loss': 0.0032800573389977217, 'valid_loss': 0.6325752139091492, 'step': 27499, 'valid_accuracy': 0.794921875, 'train_accuracy': 0.990234375}
{'train_loss': 0.001453017583116889, 'valid_loss': 0.005961595103144646, 'step': 27999, 'valid_accuracy': 0.998046875, 'train_accuracy': 1.0}
{'train_loss': 0.0009111511753872037, 'valid_loss': 0.006774448789656162, 'step': 28499, 'valid_accuracy': 0.99609375, 'train_accuracy': 1.0}
{'train_loss': 0.0015807303134351969, 'valid_loss': 0.014363868162035942, 'step': 28999, 'valid_accuracy': 0.98828125, 'train_accuracy': 1.0}
{'train_loss': 0.00013896422751713544, 'valid_loss': 0.04404642432928085, 'step': 29499, 'valid_accuracy': 0.986328125, 'train_accuracy': 1.0}
{'train_loss': 0.0024949703365564346, 'valid_loss': 0.2223215103149414, 'step': 29999, 'valid_accuracy': 0.919921875, 'train_accuracy': 1.0}
{'train_loss': 0.49774420261383057, 'valid_loss': 2.601534366607666, 'step': 30499, 'valid_accuracy': 0.515625, 'train_accuracy': 0.916015625}
{'train_loss': 3.18520188331604, 'valid_loss': 0.8488726615905762, 'step': 30999, 'valid_accuracy': 0.712890625, 'train_accuracy': 0.81640625}
{'train_loss': 0.0014662619214504957, 'valid_loss': 0.045352138578891754, 'step': 31499, 'valid_accuracy': 0.978515625, 'train_accuracy': 1.0}
{'train_loss': 0.15792527794837952, 'valid_loss': 0.21716642379760742, 'step': 31999, 'valid_accuracy': 0.884765625, 'train_accuracy': 0.94140625}
{'train_loss': 8.278309542220086e-05, 'valid_loss': 0.01914672926068306, 'step': 32499, 'valid_accuracy': 0.9921875, 'train_accuracy': 1.0}
{'train_loss': 0.00039242167258635163, 'valid_loss': 0.0196433924138546, 'step': 32999, 'valid_accuracy': 0.99609375, 'train_accuracy': 1.0}
{'train_loss': 0.1905800700187683, 'valid_loss': 0.19959694147109985, 'step': 33499, 'valid_accuracy': 0.90234375, 'train_accuracy': 0.9765625}
{'train_loss': 0.0001181546613224782, 'valid_loss': 0.05639559403061867, 'step': 33999, 'valid_accuracy': 0.978515625, 'train_accuracy': 1.0}
{'train_loss': 0.0017778732581064105, 'valid_loss': 0.01738651841878891, 'step': 34499, 'valid_accuracy': 0.994140625, 'train_accuracy': 0.998046875}
{'train_loss': 0.0004492273728828877, 'valid_loss': 1.03476083278656, 'step': 34999, 'valid_accuracy': 0.66796875, 'train_accuracy': 1.0}
{'train_loss': 0.006002405658364296, 'valid_loss': 0.010979583486914635, 'step': 35499, 'valid_accuracy': 0.99609375, 'train_accuracy': 1.0}
{'train_loss': 0.2555781602859497, 'valid_loss': 0.521457314491272, 'step': 35999, 'valid_accuracy': 0.890625, 'train_accuracy': 0.94921875}
{'train_loss': 0.0004553086473606527, 'valid_loss': 0.013276821002364159, 'step': 36499, 'valid_accuracy': 0.998046875, 'train_accuracy': 1.0}
{'train_loss': 0.0466691330075264, 'valid_loss': 0.05203580856323242, 'step': 36999, 'valid_accuracy': 0.974609375, 'train_accuracy': 0.99609375}
{'train_loss': 4.726243787445128e-05, 'valid_loss': 0.003158171195536852, 'step': 37499, 'valid_accuracy': 0.998046875, 'train_accuracy': 1.0}
{'train_loss': 0.00048563090967945755, 'valid_loss': 0.01321793906390667, 'step': 37999, 'valid_accuracy': 0.99609375, 'train_accuracy': 1.0}
{'train_loss': 0.07328955084085464, 'valid_loss': 0.012054551392793655, 'step': 38499, 'valid_accuracy': 0.99609375, 'train_accuracy': 0.99609375}
{'train_loss': 0.0011825512629002333, 'valid_loss': 0.07730994373559952, 'step': 38999, 'valid_accuracy': 0.98828125, 'train_accuracy': 0.994140625}
{'train_loss': 0.00014101961278356612, 'valid_loss': 0.031757108867168427, 'step': 39499, 'valid_accuracy': 0.98828125, 'train_accuracy': 1.0}
{'train_loss': 0.09141890704631805, 'valid_loss': 0.8156375885009766, 'step': 39999, 'valid_accuracy': 0.71484375, 'train_accuracy': 0.98046875}
{'train_loss': 0.001728919567540288, 'valid_loss': 0.005952054634690285, 'step': 40499, 'valid_accuracy': 0.99609375, 'train_accuracy': 1.0}
{'train_loss': 1.285473108291626, 'valid_loss': 0.3387826085090637, 'step': 40999, 'valid_accuracy': 0.876953125, 'train_accuracy': 0.88671875}
{'train_loss': 9.697617497295141e-05, 'valid_loss': 0.040372006595134735, 'step': 41499, 'valid_accuracy': 0.984375, 'train_accuracy': 1.0}
{'train_loss': 0.131468266248703, 'valid_loss': 0.2176305651664734, 'step': 41999, 'valid_accuracy': 0.9453125, 'train_accuracy': 0.94140625}
{'train_loss': 0.0002509318001102656, 'valid_loss': 0.05728009343147278, 'step': 42499, 'valid_accuracy': 0.9765625, 'train_accuracy': 1.0}
{'train_loss': 0.0036968321073800325, 'valid_loss': 0.011562459170818329, 'step': 42999, 'valid_accuracy': 0.998046875, 'train_accuracy': 0.998046875}
{'train_loss': 0.010852055624127388, 'valid_loss': 0.06052828207612038, 'step': 43499, 'valid_accuracy': 0.978515625, 'train_accuracy': 0.998046875}
{'train_loss': 0.0011173912789672613, 'valid_loss': 0.08076466619968414, 'step': 43999, 'valid_accuracy': 0.95703125, 'train_accuracy': 0.99609375}
{'train_loss': 0.03926693648099899, 'valid_loss': 0.327254980802536, 'step': 44499, 'valid_accuracy': 0.865234375, 'train_accuracy': 0.984375}
{'train_loss': 2.003098487854004, 'valid_loss': 0.9152625799179077, 'step': 44999, 'valid_accuracy': 0.697265625, 'train_accuracy': 0.73828125}
{'train_loss': 0.0008332355064339936, 'valid_loss': 0.007942955940961838, 'step': 45499, 'valid_accuracy': 0.99609375, 'train_accuracy': 0.998046875}
{'train_loss': 4.439334952621721e-05, 'valid_loss': 0.005925280507653952, 'step': 45999, 'valid_accuracy': 0.99609375, 'train_accuracy': 1.0}
{'train_loss': 0.0009244382963515818, 'valid_loss': 0.0021907864138484, 'step': 46499, 'valid_accuracy': 1.0, 'train_accuracy': 0.998046875}
{'train_loss': 5.275433977658395e-06, 'valid_loss': 0.018430562689900398, 'step': 46999, 'valid_accuracy': 0.994140625, 'train_accuracy': 1.0}
{'train_loss': 2.6787369279190898e-05, 'valid_loss': 0.018680883571505547, 'step': 47499, 'valid_accuracy': 0.9921875, 'train_accuracy': 1.0}
{'train_loss': 0.0022294623777270317, 'valid_loss': 0.011046288534998894, 'step': 47999, 'valid_accuracy': 0.9921875, 'train_accuracy': 1.0}
{'train_loss': 0.008178751915693283, 'valid_loss': 1.4046638011932373, 'step': 48499, 'valid_accuracy': 0.6640625, 'train_accuracy': 0.994140625}
{'train_loss': 0.7683371901512146, 'valid_loss': 0.7599948644638062, 'step': 48999, 'valid_accuracy': 0.478515625, 'train_accuracy': 0.482421875}
{'train_loss': 1.0607366561889648, 'valid_loss': 0.9922715425491333, 'step': 49499, 'valid_accuracy': 0.6640625, 'train_accuracy': 0.751953125}
{'train_loss': 0.3976132273674011, 'valid_loss': 0.5018486380577087, 'step': 49999, 'valid_accuracy': 0.6796875, 'train_accuracy': 0.875}
{'train_loss': 0.0008956188103184104, 'valid_loss': 0.08971785008907318, 'step': 50499, 'valid_accuracy': 0.95703125, 'train_accuracy': 1.0}
{'train_loss': 0.0036715627647936344, 'valid_loss': 0.18292972445487976, 'step': 50999, 'valid_accuracy': 0.91796875, 'train_accuracy': 0.998046875}
{'train_loss': 0.007292281836271286, 'valid_loss': 0.21748584508895874, 'step': 51499, 'valid_accuracy': 0.92578125, 'train_accuracy': 1.0}
{'train_loss': 0.007750514894723892, 'valid_loss': 0.01876061037182808, 'step': 51999, 'valid_accuracy': 0.9921875, 'train_accuracy': 0.99609375}
{'train_loss': 0.0924646258354187, 'valid_loss': 0.23481208086013794, 'step': 52499, 'valid_accuracy': 0.8984375, 'train_accuracy': 0.978515625}
{'train_loss': 0.02830340713262558, 'valid_loss': 0.09467513859272003, 'step': 52999, 'valid_accuracy': 0.94921875, 'train_accuracy': 0.990234375}
{'train_loss': 0.0004400460748001933, 'valid_loss': 0.022110406309366226, 'step': 53499, 'valid_accuracy': 0.9921875, 'train_accuracy': 0.998046875}
{'train_loss': 0.12277504801750183, 'valid_loss': 0.23152852058410645, 'step': 53999, 'valid_accuracy': 0.875, 'train_accuracy': 0.908203125}
{'train_loss': 0.027809299528598785, 'valid_loss': 0.05806383118033409, 'step': 54499, 'valid_accuracy': 0.974609375, 'train_accuracy': 0.9765625}
{'train_loss': 0.02241688221693039, 'valid_loss': 0.08733522891998291, 'step': 54999, 'valid_accuracy': 0.96875, 'train_accuracy': 0.9921875}
{'train_loss': 0.0002458046074025333, 'valid_loss': 0.0010229586623609066, 'step': 55499, 'valid_accuracy': 1.0, 'train_accuracy': 1.0}
{'train_loss': 0.026183396577835083, 'valid_loss': 0.039242934435606, 'step': 55999, 'valid_accuracy': 0.978515625, 'train_accuracy': 0.998046875}
{'train_loss': 0.0010130988666787744, 'valid_loss': 0.09268170595169067, 'step': 56499, 'valid_accuracy': 0.962890625, 'train_accuracy': 0.998046875}
{'train_loss': 0.00016510968271177262, 'valid_loss': 0.005599903874099255, 'step': 56999, 'valid_accuracy': 0.998046875, 'train_accuracy': 1.0}
{'train_loss': 0.00026083720149472356, 'valid_loss': 0.9222468733787537, 'step': 57499, 'valid_accuracy': 0.82421875, 'train_accuracy': 1.0}
{'train_loss': 0.5807262659072876, 'valid_loss': 0.3160281777381897, 'step': 57999, 'valid_accuracy': 0.833984375, 'train_accuracy': 0.931640625}
{'train_loss': 0.008655834011733532, 'valid_loss': 0.1771613508462906, 'step': 58499, 'valid_accuracy': 0.92578125, 'train_accuracy': 0.9921875}
{'train_loss': 0.006406613625586033, 'valid_loss': 0.021924618631601334, 'step': 58999, 'valid_accuracy': 0.9921875, 'train_accuracy': 0.99609375}
{'train_loss': 0.00852484442293644, 'valid_loss': 0.012769117020070553, 'step': 59499, 'valid_accuracy': 0.99609375, 'train_accuracy': 0.99609375}
{'train_loss': 0.005949150770902634, 'valid_loss': 0.04510645568370819, 'step': 59999, 'valid_accuracy': 0.984375, 'train_accuracy': 1.0}
{'train_loss': 0.022307179868221283, 'valid_loss': 0.013970329426229, 'step': 60499, 'valid_accuracy': 0.994140625, 'train_accuracy': 0.998046875}
{'train_loss': 0.0004108946886844933, 'valid_loss': 0.016357898712158203, 'step': 60999, 'valid_accuracy': 0.994140625, 'train_accuracy': 1.0}
{'train_loss': 0.0015941431047394872, 'valid_loss': 0.02156195417046547, 'step': 61499, 'valid_accuracy': 0.990234375, 'train_accuracy': 1.0}
{'train_loss': 3.3018459362210706e-05, 'valid_loss': 2.1245906352996826, 'step': 61999, 'valid_accuracy': 0.67578125, 'train_accuracy': 1.0}
{'train_loss': 0.40255147218704224, 'valid_loss': 0.3295099437236786, 'step': 62499, 'valid_accuracy': 0.90234375, 'train_accuracy': 0.974609375}
{'train_loss': 2.135825161531102e-05, 'valid_loss': 0.019140740856528282, 'step': 62999, 'valid_accuracy': 0.994140625, 'train_accuracy': 1.0}
{'train_loss': 0.0007315293769352138, 'valid_loss': 0.034595590084791183, 'step': 63499, 'valid_accuracy': 0.98828125, 'train_accuracy': 1.0}
{'train_loss': 0.34992465376853943, 'valid_loss': 0.3030010163784027, 'step': 63999, 'valid_accuracy': 0.896484375, 'train_accuracy': 0.8984375}
{'train_loss': 5.820244041387923e-05, 'valid_loss': 0.05949059873819351, 'step': 64499, 'valid_accuracy': 0.986328125, 'train_accuracy': 1.0}
{'train_loss': 0.026683803647756577, 'valid_loss': 0.012439558282494545, 'step': 64999, 'valid_accuracy': 0.9921875, 'train_accuracy': 1.0}
{'train_loss': 0.008470248430967331, 'valid_loss': 0.0038063395768404007, 'step': 65499, 'valid_accuracy': 0.998046875, 'train_accuracy': 0.998046875}
{'train_loss': 0.1316605508327484, 'valid_loss': 0.02299327217042446, 'step': 65999, 'valid_accuracy': 0.98828125, 'train_accuracy': 0.984375}
{'train_loss': 0.15589183568954468, 'valid_loss': 0.373534232378006, 'step': 66499, 'valid_accuracy': 0.869140625, 'train_accuracy': 0.970703125}
{'train_loss': 0.0005675303400494158, 'valid_loss': 0.6443541049957275, 'step': 66999, 'valid_accuracy': 0.7734375, 'train_accuracy': 1.0}
{'train_loss': 0.31395986676216125, 'valid_loss': 0.3580052852630615, 'step': 67499, 'valid_accuracy': 0.79296875, 'train_accuracy': 0.830078125}
{'train_loss': 0.17938831448554993, 'valid_loss': 0.21362736821174622, 'step': 67999, 'valid_accuracy': 0.939453125, 'train_accuracy': 0.95703125}
{'train_loss': 8.652405813336372e-05, 'valid_loss': 0.021322881802916527, 'step': 68499, 'valid_accuracy': 0.99609375, 'train_accuracy': 1.0}
{'train_loss': 0.06371606886386871, 'valid_loss': 0.03370465338230133, 'step': 68999, 'valid_accuracy': 0.990234375, 'train_accuracy': 0.986328125}
{'train_loss': 0.0015424208249896765, 'valid_loss': 0.020251382142305374, 'step': 69499, 'valid_accuracy': 0.990234375, 'train_accuracy': 1.0}
{'train_loss': 4.941791121382266e-05, 'valid_loss': 1.070995569229126, 'step': 69999, 'valid_accuracy': 0.626953125, 'train_accuracy': 1.0}
{'train_loss': 0.0007618080708198249, 'valid_loss': 0.0009740992682054639, 'step': 70499, 'valid_accuracy': 1.0, 'train_accuracy': 1.0}
{'train_loss': 0.0001576646463945508, 'valid_loss': 0.013653268106281757, 'step': 70999, 'valid_accuracy': 0.9921875, 'train_accuracy': 1.0}
{'train_loss': 4.647359310183674e-05, 'valid_loss': 0.002154819667339325, 'step': 71499, 'valid_accuracy': 1.0, 'train_accuracy': 1.0}
{'train_loss': 0.007530221715569496, 'valid_loss': 0.23197229206562042, 'step': 71999, 'valid_accuracy': 0.896484375, 'train_accuracy': 0.998046875}
{'train_loss': 0.004153978079557419, 'valid_loss': 0.0033542492892593145, 'step': 72499, 'valid_accuracy': 1.0, 'train_accuracy': 0.998046875}
{'train_loss': 0.004508673213422298, 'valid_loss': 1.2448394298553467, 'step': 72999, 'valid_accuracy': 0.697265625, 'train_accuracy': 1.0}
{'train_loss': 0.0024982753675431013, 'valid_loss': 0.004716567695140839, 'step': 73499, 'valid_accuracy': 0.99609375, 'train_accuracy': 1.0}
{'train_loss': 0.0015213657170534134, 'valid_loss': 0.011747166514396667, 'step': 73999, 'valid_accuracy': 0.99609375, 'train_accuracy': 0.998046875}
{'train_loss': 1.4587641999241896e-05, 'valid_loss': 0.01836743950843811, 'step': 74499, 'valid_accuracy': 0.9921875, 'train_accuracy': 1.0}
{'train_loss': 0.0007990346057340503, 'valid_loss': 0.014312151819467545, 'step': 74999, 'valid_accuracy': 0.9921875, 'train_accuracy': 1.0}
{'train_loss': 0.000565563328564167, 'valid_loss': 0.02373216673731804, 'step': 75499, 'valid_accuracy': 0.98828125, 'train_accuracy': 1.0}
{'train_loss': 0.1257416009902954, 'valid_loss': 0.6806507110595703, 'step': 75999, 'valid_accuracy': 0.8828125, 'train_accuracy': 0.98046875}
{'train_loss': 3.378704423084855e-05, 'valid_loss': 0.0069369785487651825, 'step': 76499, 'valid_accuracy': 0.994140625, 'train_accuracy': 1.0}
{'train_loss': 0.03058984875679016, 'valid_loss': 0.06212450936436653, 'step': 76999, 'valid_accuracy': 0.96875, 'train_accuracy': 0.98828125}
{'train_loss': 0.00014581582217942923, 'valid_loss': 1.4923622608184814, 'step': 77499, 'valid_accuracy': 0.51171875, 'train_accuracy': 1.0}
{'train_loss': 0.00014658307190984488, 'valid_loss': 0.44348281621932983, 'step': 77999, 'valid_accuracy': 0.8203125, 'train_accuracy': 1.0}
{'train_loss': 0.00011134515807498246, 'valid_loss': 0.00894937664270401, 'step': 78499, 'valid_accuracy': 0.994140625, 'train_accuracy': 0.99609375}
{'train_loss': 0.01837136223912239, 'valid_loss': 0.11997726559638977, 'step': 78999, 'valid_accuracy': 0.958984375, 'train_accuracy': 0.99609375}
{'train_loss': 0.00010425331129226834, 'valid_loss': 0.007806700654327869, 'step': 79499, 'valid_accuracy': 0.998046875, 'train_accuracy': 1.0}
{'train_loss': 0.025990504771471024, 'valid_loss': 0.023917099460959435, 'step': 79999, 'valid_accuracy': 0.990234375, 'train_accuracy': 0.98828125}
{'train_loss': 0.0006721855024807155, 'valid_loss': 0.0051185693591833115, 'step': 80499, 'valid_accuracy': 0.998046875, 'train_accuracy': 1.0}
{'train_loss': 0.0002258145686937496, 'valid_loss': 0.0886555016040802, 'step': 80999, 'valid_accuracy': 0.951171875, 'train_accuracy': 1.0}
{'train_loss': 0.00048286476521752775, 'valid_loss': 0.006258196663111448, 'step': 81499, 'valid_accuracy': 0.998046875, 'train_accuracy': 1.0}
